 ,Label,Area,Mean,Min,Max,Perim.,Major,Minor,Angle
1189,,273.264,255,255,255,57.342,21.557,16.140,87.006
1190,,476.008,255,255,255,77.616,25.476,23.790,165.849
1191,,537.713,255,255,255,82.535,26.886,25.464,95.481
1192,,387.858,255,255,255,69.939,24.269,20.348,63.393
1193,,282.079,255,255,255,58.063,19.685,18.245,90.000
1194,,334.969,255,255,255,64.001,23.443,18.193,110.114
1195,,423.118,255,255,255,74.138,23.646,22.783,146.621
1196,,282.079,255,255,255,59.082,20.131,17.841,38.218
1197,,361.413,255,255,255,69.218,25.362,18.144,102.535
1198,,652.307,255,255,255,90.212,30.580,27.160,155.862
1199,,652.307,255,255,255,92.672,32.056,25.909,55.239
1200,,458.378,255,255,255,74.138,25.742,22.672,136.189
1201,,484.823,255,255,255,80.076,28.549,21.622,93.395
1202,,70.520,255,255,255,29.392,10.359,8.667,0.000
1203,,273.264,255,255,255,58.063,21.439,16.229,117.821
1204,,511.268,255,255,255,84.274,29.308,22.211,80.776
1205,,132.224,255,255,255,43.727,13.817,12.184,90.000
1206,,520.083,255,255,255,80.076,27.049,24.481,109.311
1207,,299.709,255,255,255,61.541,22.669,16.833,56.647
1208,,414.303,255,255,255,71.678,24.239,21.762,79.955
1209,,493.638,255,255,255,81.815,28.528,22.032,36.850
1210,,308.524,255,255,255,61.541,21.331,18.416,101.013
1211,,149.854,255,255,255,41.268,15.525,12.290,164.828
1212,,264.449,255,255,255,57.342,18.581,18.121,64.968
1213,,643.492,255,255,255,108.747,41.691,19.652,110.991
1214,,379.043,255,255,255,69.218,23.124,20.870,52.300
1215,,555.343,255,255,255,86.014,29.737,23.778,122.538
1216,,238.004,255,255,255,53.144,19.152,15.823,12.492
1217,,193.929,255,255,255,53.864,16.996,14.528,68.769
1218,,652.307,255,255,255,90.933,31.334,26.506,102.280
1219,,379.043,255,255,255,70.659,24.557,19.653,83.738
1220,,484.823,255,255,255,80.076,27.423,22.510,121.980
1221,,149.854,255,255,255,43.727,15.679,12.169,40.708
1222,,308.524,255,255,255,64.001,21.815,18.007,58.828
1223,,317.339,255,255,255,61.541,21.888,18.460,107.029
1224,,246.819,255,255,255,53.864,17.886,17.570,90.000
1225,,546.528,255,255,255,86.014,30.781,22.607,67.083
1226,,714.012,255,255,255,95.132,33.386,27.230,26.706
1227,,246.819,255,255,255,55.603,18.789,16.726,46.703
1228,,273.264,255,255,255,57.342,21.852,15.922,90.000
1229,,361.413,255,255,255,70.958,28.828,15.963,85.338
1230,,229.189,255,255,255,53.144,18.738,15.573,67.462
1231,,555.343,255,255,255,83.554,28.292,24.992,174.309
1232,,414.303,255,255,255,71.678,25.867,20.393,64.105
1233,,282.079,255,255,255,59.802,22.068,16.275,32.509
1234,,467.193,255,255,255,75.877,27.377,21.728,135.000
1235,,185.114,255,255,255,49.665,16.052,14.683,68.669
1236,,572.972,255,255,255,86.014,29.228,24.960,78.160
1237,,564.158,255,255,255,83.554,29.131,24.658,66.032
1238,,431.933,255,255,255,76.597,24.810,22.166,40.969
1239,,564.158,255,255,255,86.014,29.446,24.394,0.000
1240,,696.382,255,255,255,94.411,33.328,26.604,9.461
1241,,246.819,255,255,255,57.342,19.610,16.025,6.340
1242,,352.598,255,255,255,67.479,22.409,20.034,104.387
1243,,396.673,255,255,255,72.398,26.508,19.053,47.765
1244,,202.744,255,255,255,48.945,16.131,16.003,90.000
1245,,493.638,255,255,255,80.796,26.538,23.684,61.338
1246,,123.409,255,255,255,37.069,13.293,11.821,180.000
1247,,423.118,255,255,255,72.398,26.514,20.319,45.000
1248,,405.488,255,255,255,71.678,24.389,21.169,81.776
1249,,167.484,255,255,255,43.727,15.738,13.550,45.001
1250,,264.449,255,255,255,57.342,19.774,17.028,151.691
1251,,414.303,255,255,255,71.678,24.316,21.693,80.877
1252,,158.669,255,255,255,43.727,15.106,13.373,25.406
1253,,546.528,255,255,255,84.274,27.721,25.102,79.102
1254,,511.268,255,255,255,83.554,29.541,22.036,67.286
1255,,282.079,255,255,255,59.802,22.601,15.891,116.565
1256,,255.634,255,255,255,55.603,18.788,17.324,54.273
1257,,70.520,255,255,255,26.932,10.503,8.549,45.000
1258,,537.713,255,255,255,88.473,32.460,21.092,122.114
1259,,132.224,255,255,255,38.808,13.833,12.171,135.000
1260,,493.638,255,255,255,79.355,29.094,21.603,108.347
1261,,158.669,255,255,255,43.727,15.106,13.373,25.406
1262,,484.823,255,255,255,78.336,25.114,24.580,65.776
1263,,555.343,255,255,255,90.212,33.973,20.813,37.031
1264,,599.417,255,255,255,87.753,31.235,24.435,6.876
1265,,564.158,255,255,255,84.274,27.567,26.056,128.005
1266,,414.303,255,255,255,71.678,25.473,20.709,27.341
1267,,564.158,255,255,255,82.535,30.101,23.863,167.153
1268,,361.413,255,255,255,69.939,24.559,18.737,83.135
1269,,220.374,255,255,255,51.404,18.175,15.438,6.132
1270,,440.748,255,255,255,75.877,27.567,20.357,46.038
1271,,758.087,255,255,255,97.890,31.432,30.708,90.000
1272,,449.563,255,255,255,76.597,24.933,22.957,60.080
1273,,202.744,255,255,255,48.945,17.617,14.653,45.001
1274,,255.634,255,255,255,58.063,18.698,17.407,126.347
1275,,405.488,255,255,255,74.138,25.561,20.198,80.107
1276,,749.272,255,255,255,96.150,33.944,28.105,174.091
1277,,326.154,255,255,255,64.001,21.702,19.135,65.743
1278,,440.748,255,255,255,75.877,26.175,21.440,1.590
1279,,414.303,255,255,255,74.138,25.697,20.528,45.448
1280,,722.827,255,255,255,98.610,34.030,27.045,80.749
1281,,546.528,255,255,255,84.274,30.346,22.931,45.301
1282,,361.413,255,255,255,68.200,22.324,20.613,167.345
1283,,317.339,255,255,255,61.541,21.888,18.460,17.029
1284,,661.122,255,255,255,96.150,35.370,23.799,111.213
1285,,731.642,255,255,255,107.008,40.571,22.961,113.160
1286,,423.118,255,255,255,71.678,25.889,20.809,180.000
1287,,458.378,255,255,255,77.616,25.199,23.161,103.097
1288,,405.488,255,255,255,71.678,24.767,20.846,82.452
1289,,326.154,255,255,255,64.001,21.680,19.154,49.369
1290,,352.598,255,255,255,65.740,24.780,18.117,17.039
1291,,467.193,255,255,255,76.597,26.527,22.424,116.770
1292,,352.598,255,255,255,65.740,22.820,19.674,45.000
1293,,334.969,255,255,255,65.740,22.250,19.168,60.563
1294,,185.114,255,255,255,47.206,16.690,14.122,53.864
1295,,555.343,255,255,255,86.014,27.318,25.884,83.237
1296,,581.787,255,255,255,84.274,30.526,24.266,13.407
1297,,405.488,255,255,255,74.138,24.021,21.493,68.297
1298,,714.012,255,255,255,96.150,33.508,27.131,101.414
1299,,581.787,255,255,255,84.274,27.713,26.729,176.398
1300,,387.858,255,255,255,69.939,25.112,19.666,34.163
1301,,290.894,255,255,255,59.802,20.311,18.235,12.879
1302,,493.638,255,255,255,84.274,29.827,21.072,79.338
1303,,379.043,255,255,255,69.218,22.323,21.620,90.000
1304,,273.264,255,255,255,59.802,21.028,16.546,89.519
1305,,387.858,255,255,255,71.678,25.853,19.102,88.009
1306,,220.374,255,255,255,51.404,19.048,14.731,62.969
1307,,440.748,255,255,255,78.336,27.499,20.407,156.114
1308,,282.079,255,255,255,61.541,20.381,17.622,164.044
1309,,546.528,255,255,255,84.274,32.401,21.476,58.933
1310,,431.933,255,255,255,73.417,25.177,21.843,169.974
1311,,149.854,255,255,255,41.268,15.525,12.290,15.172
1312,,238.004,255,255,255,53.144,19.152,15.823,77.508
1313,,379.043,255,255,255,68.200,24.380,19.795,31.017
1314,,352.598,255,255,255,65.740,21.709,20.680,66.941
1315,,678.752,255,255,255,94.411,33.589,25.729,39.569
1316,,202.744,255,255,255,49.665,17.092,15.103,110.702
1317,,370.228,255,255,255,65.740,22.272,21.165,32.178
1318,,555.343,255,255,255,86.014,27.351,25.852,98.696
1319,,758.087,255,255,255,99.629,32.503,29.697,127.874
1320,,555.343,255,255,255,86.014,29.154,24.253,48.417
1321,,264.449,255,255,255,55.603,19.385,17.369,135.000
1322,,352.598,255,255,255,66.460,23.286,19.280,159.471
1323,,414.303,255,255,255,71.678,24.316,21.693,99.123
1324,,255.634,255,255,255,55.603,18.716,17.391,119.350
1325,,431.933,255,255,255,74.138,23.655,23.249,174.277
1326,,370.228,255,255,255,67.479,22.513,20.939,171.051
1327,,141.039,255,255,255,41.268,14.889,12.061,27.990
1328,,299.709,255,255,255,59.802,20.740,18.399,0.000
1329,,229.189,255,255,255,51.404,18.584,15.702,0.000
1330,,608.232,255,255,255,90.212,30.013,25.803,11.655
1331,,326.154,255,255,255,66.460,22.613,18.365,88.823
1332,,537.713,255,255,255,84.274,30.063,22.773,83.524
1333,,599.417,255,255,255,88.473,29.066,26.258,90.898
1334,,308.524,255,255,255,61.541,21.615,18.174,81.528
1335,,238.004,255,255,255,55.603,19.655,15.418,41.473
1336,,502.453,255,255,255,78.336,27.332,23.406,57.147
1337,,423.118,255,255,255,74.138,26.760,20.132,93.130
1338,,317.339,255,255,255,61.541,21.888,18.460,72.971
1339,,220.374,255,255,255,52.423,16.751,16.751,0.000
1340,,440.748,255,255,255,74.138,23.969,23.413,70.670
1341,,617.047,255,255,255,88.473,30.937,25.395,58.350
1342,,590.602,255,255,255,87.753,30.831,24.390,101.257
1343,,396.673,255,255,255,69.939,23.671,21.336,162.617
1344,,431.933,255,255,255,75.877,24.445,22.498,65.050
1345,,149.854,255,255,255,43.727,14.117,13.516,0.000
1346,,431.933,255,255,255,74.138,26.804,20.518,68.033
1347,,511.268,255,255,255,80.076,27.567,23.614,117.218
1348,,352.598,255,255,255,65.740,21.567,20.817,152.103
1349,,520.083,255,255,255,82.535,30.510,21.704,43.862
1350,,299.709,255,255,255,59.802,22.056,17.301,28.068
1351,,396.673,255,255,255,69.939,24.075,20.979,98.817
1352,,370.228,255,255,255,68.200,24.000,19.642,80.660
1353,,784.532,255,255,255,118.163,47.493,21.033,89.855
1354,,343.783,255,255,255,65.740,22.903,19.112,128.700
1355,,608.232,255,255,255,90.212,32.916,23.527,69.238
1356,,61.705,255,255,255,26.932,9.164,8.573,90.000
1357,,334.969,255,255,255,64.001,21.439,19.894,14.735
1358,,255.634,255,255,255,58.063,20.294,16.038,70.595
1359,,290.894,255,255,255,59.802,20.552,18.022,52.251
1360,,625.862,255,255,255,90.212,31.981,24.917,173.071
1361,,290.894,255,255,255,59.802,20.786,17.819,99.338
1362,,264.449,255,255,255,59.802,21.795,15.449,24.025
1363,,282.079,255,255,255,61.541,20.518,17.504,71.300
1364,,317.339,255,255,255,65.740,21.958,18.401,43.678
1365,,414.303,255,255,255,72.398,23.425,22.519,38.503
1366,,79.335,255,255,255,28.671,10.050,10.050,0.000
1367,,361.413,255,255,255,65.740,21.548,21.356,90.000
1368,,264.449,255,255,255,55.603,19.385,17.369,135.000
1369,,520.083,255,255,255,82.535,28.167,23.510,53.400
1370,,731.642,255,255,255,98.610,32.109,29.013,66.572
1371,,352.598,255,255,255,65.740,21.658,20.729,54.277
1372,,255.634,255,255,255,56.324,20.656,15.757,59.231
1373,,423.118,255,255,255,71.678,24.949,21.594,73.149
1374,,440.748,255,255,255,75.877,25.607,21.915,22.806
1375,,528.898,255,255,255,81.815,30.658,21.965,174.488
1376,,299.709,255,255,255,61.541,20.882,18.274,23.962
1377,,652.307,255,255,255,92.672,30.016,27.670,130.776
1378,,449.563,255,255,255,77.616,27.958,20.474,70.027
1379,,520.083,255,255,255,80.076,28.102,23.564,28.217
1380,,308.524,255,255,255,61.541,21.064,18.649,103.644
1381,,476.008,255,255,255,80.076,26.454,22.910,75.020
1382,,246.819,255,255,255,55.603,20.634,15.230,105.411
1383,,581.787,255,255,255,87.753,29.192,25.375,171.155
1384,,123.409,255,255,255,37.069,12.659,12.412,90.000
1385,,431.933,255,255,255,74.138,24.403,22.537,176.210
1386,,687.567,255,255,255,92.672,30.198,28.990,47.755
1387,,361.413,255,255,255,67.479,24.442,18.827,48.505
1388,,396.673,255,255,255,71.678,24.930,20.259,31.211
1389,,282.079,255,255,255,58.063,19.435,18.480,107.080
1390,,343.783,255,255,255,65.740,24.282,18.026,159.159
1391,,546.528,255,255,255,86.014,29.511,23.580,101.474
1392,,546.528,255,255,255,83.554,28.083,24.779,10.988
1393,,229.189,255,255,255,51.404,18.584,15.702,90.000
1394,,334.969,255,255,255,67.479,22.502,18.954,54.293
1395,,511.268,255,255,255,84.274,28.084,23.179,97.397
1396,,370.228,255,255,255,68.200,24.006,19.637,148.766
1397,,211.559,255,255,255,51.404,17.782,15.148,178.600
1398,,476.008,255,255,255,77.616,24.910,24.330,90.000
1399,,405.488,255,255,255,70.958,23.309,22.149,45.000
1400,,308.524,255,255,255,64.001,21.782,18.035,70.463
1401,,528.898,255,255,255,81.815,27.638,24.365,105.151
1402,,520.083,255,255,255,81.815,27.863,23.766,72.514
1403,,520.083,255,255,255,81.815,26.885,24.630,99.248
1404,,299.709,255,255,255,60.522,20.574,18.548,146.566
1405,,308.524,255,255,255,61.541,22.985,17.091,59.093
1406,,423.118,255,255,255,71.678,25.889,20.809,180.000
1407,,343.783,255,255,255,64.001,21.908,19.980,45.002
1408,,343.783,255,255,255,67.479,25.339,17.274,72.136
1409,,493.638,255,255,255,88.473,33.592,18.710,51.267
1410,,431.933,255,255,255,75.877,25.134,21.881,161.138
1411,,440.748,255,255,255,78.336,27.639,20.304,58.039
1412,,440.748,255,255,255,74.138,23.969,23.413,19.330
1413,,705.197,255,255,255,96.150,32.905,27.287,10.129
1414,,370.228,255,255,255,68.200,23.706,19.885,60.940
1415,,308.524,255,255,255,63.280,21.389,18.365,33.842
1416,,379.043,255,255,255,69.939,24.151,19.983,83.258
1417,,317.339,255,255,255,63.280,21.856,18.487,163.864
1418,,352.598,255,255,255,68.200,23.141,19.401,82.918
1419,,502.453,255,255,255,83.554,29.538,21.658,109.273
1420,,220.374,255,255,255,49.665,17.938,15.642,100.870
1421,,343.783,255,255,255,66.460,22.764,19.229,139.920
1422,,334.969,255,255,255,65.740,23.722,17.979,82.543
1423,,299.709,255,255,255,59.802,20.740,18.399,0.000
1424,,185.114,255,255,255,45.466,15.352,15.352,0.000
1425,,308.524,255,255,255,62.262,21.669,18.128,92.883
1426,,290.894,255,255,255,61.541,21.933,16.887,97.454
1427,,396.673,255,255,255,71.678,24.352,20.740,37.299
1428,,714.012,255,255,255,96.871,35.335,25.728,39.118
1429,,705.197,255,255,255,98.610,35.114,25.571,96.965
1430,,299.709,255,255,255,59.802,21.003,18.169,90.000
1431,,458.378,255,255,255,77.616,26.628,21.917,129.468
1432,,643.492,255,255,255,94.411,34.194,23.961,12.772
1433,,643.492,255,255,255,107.728,41.716,19.640,48.042
1434,,775.717,255,255,255,101.070,36.394,27.139,110.238
1435,,185.114,255,255,255,47.206,16.690,14.122,53.864
1436,,308.524,255,255,255,63.280,20.455,19.204,95.428
