lambda,A
786,0.0180222
787,0.0177168
788,0.0175759
789,0.0176459
790,0.0175788
791,0.0175285
792,0.01736
793,0.0172437
794,0.0170356
795,0.016964
796,0.0169159
797,0.0169068
798,0.0167184
799,0.016632
800,0.0165663
801,0.0164975
802,0.0162203
803,0.0160619
804,0.0159196
805,0.0158529
806,0.01582
807,0.0157928
808,0.0156674
809,0.0155434
810,0.015489
811,0.0154665
812,0.015406
813,0.0152782
814,0.0152369
815,0.0150783
816,0.0149918
817,0.0149793
818,0.0149063
819,0.0147499
820,0.0145782
821,0.0143814
822,0.0143885
823,0.0144839
824,0.0144947
825,0.0145168
826,0.0143566
827,0.0142842
828,0.0141158
829,0.0141986
830,0.0140228
831,0.0139388
832,0.0138106
833,0.0138284
834,0.0139008
835,0.0140499
836,0.0139311
837,0.0139166
838,0.0139162
839,0.013845
840,0.0135719
841,0.0133886
842,0.013262
843,0.0133302
844,0.0131959
845,0.0130441
846,0.0128212
847,0.0129151
848,0.0128281
849,0.0127729
850,0.0127311
851,0.0126959
852,0.0126296
853,0.0126493
854,0.012445
855,0.0125487
856,0.0125339
857,0.0125003
858,0.0123098
859,0.0120739
860,0.0121391
861,0.0120666
862,0.0118441
863,0.0118783
864,0.0119945
865,0.0122312
866,0.0122176
867,0.0120504
868,0.0122149
869,0.0120586
870,0.0120701
871,0.0117768
872,0.0119688
873,0.0118719
874,0.0119332
875,0.0116117
876,0.0116121
877,0.0116933
878,0.0113359
879,0.0116366
880,0.0117222
881,0.0118309
882,0.0112307
883,0.0114733
884,0.0116967
885,0.0126554
886,0.0122379
887,0.0116947
888,0.0112993
889,0.011645
890,0.0122975
891,0.0129203
892,0.0137262
893,0.0129997
894,0.0128968
895,0.0115902
896,0.0104602
897,0.0109067
898,0.0106591
899,0.0106889
900,0.0117959
