lambda,A
733,-0.0061156
734,-0.00606686
735,-0.00600312
736,-0.00602056
737,-0.00601155
738,-0.00604885
739,-0.00598433
740,-0.00602102
741,-0.00606373
742,-0.00608398
743,-0.00604163
744,-0.0061013
745,-0.00604139
746,-0.00600151
747,-0.00593169
748,-0.00589788
749,-0.00595628
750,-0.00590757
751,-0.00601365
752,-0.00600099
753,-0.00609331
754,-0.00604139
755,-0.00598327
756,-0.00591478
757,-0.00584845
758,-0.00591636
759,-0.00593146
760,-0.00589471
761,-0.00578966
762,-0.00571684
763,-0.00572243
764,-0.00573104
765,-0.00586597
766,-0.00587323
767,-0.00592582
768,-0.00583656
769,-0.00575259
770,-0.00577291
771,-0.00574677
772,-0.0058624
773,-0.0059479
774,-0.00594701
775,-0.00597457
776,-0.00585493
777,-0.0058155
778,-0.00587468
779,-0.00586503
780,-0.00581106
781,-0.00584519
782,-0.0057777
783,-0.00577509
784,-0.00572703
785,-0.00580725
786,-0.00582066
787,-0.00583549
788,-0.00575714
789,-0.00559593
790,-0.00565259
791,-0.00563362
792,-0.00572443
793,-0.00566576
794,-0.00576672
795,-0.00565531
796,-0.00561361
797,-0.00559657
798,-0.00558269
799,-0.00565489
800,-0.0055498
801,-0.00559923
802,-0.00568783
803,-0.00574252
804,-0.00562448
805,-0.00553848
806,-0.00544619
807,-0.0053884
808,-0.00549222
809,-0.0055178
810,-0.00552251
811,-0.00552083
812,-0.00540077
813,-0.00534498
814,-0.00520848
815,-0.00538665
816,-0.00533947
817,-0.00533828
818,-0.00530525
819,-0.00525704
820,-0.00533032
821,-0.00540756
822,-0.00536982
823,-0.00528016
824,-0.00523948
825,-0.00513356
826,-0.00519642
827,-0.00499809
828,-0.00509647
829,-0.00499259
830,-0.00514254
831,-0.00513123
832,-0.00517278
833,-0.00522782
834,-0.00529478
835,-0.00510419
836,-0.00502859
837,-0.00490405
838,-0.00490247
839,-0.00503686
840,-0.00512269
841,-0.00519705
842,-0.0052112
843,-0.00516046
844,-0.00511436
845,-0.00517285
846,-0.00516987
847,-0.00513772
848,-0.00508621
849,-0.00507254
850,-0.00504008
851,-0.00512991
852,-0.00512794
853,-0.00504791
854,-0.00522561
855,-0.00514611
856,-0.00504962
857,-0.00499264
858,-0.00497704
859,-0.00505912
860,-0.0048873
861,-0.00477272
862,-0.00505433
863,-0.00520722
864,-0.0051498
865,-0.00483427
866,-0.00457556
867,-0.00464137
868,-0.00456954
869,-0.00497817
870,-0.00504516
871,-0.00523422
872,-0.00516558
873,-0.00468179
874,-0.004137
875,-0.00446467
876,-0.00447084
877,-0.00450819
878,-0.00492105
879,-0.00474097
880,-0.0045701
881,-0.00428191
882,-0.00401538
883,-0.00387742
884,-0.00355777
885,-0.00353147
886,-0.0040655
887,-0.0047266
888,-0.00463189
889,-0.00476608
890,-0.00321259
891,-0.00335924
892,-0.00245299
893,-0.00263252
894,-0.00340443
895,-0.00456392
896,-0.00605406
897,-0.00490469
898,-0.00646498
899,-0.00606752
900,-0.00543767
